Source,Contact,Comment,Plot_name,Latitude,Longitude,Elevation,Precision_level,OCS,Crop_var,Crop_status,date start,date end,Field_operation,Depth of plowing or tillage (cm),% of plot area affected,% of targeted area affected + wind sector,"Type of machines used (Tractor+tool, self-propeller (often used for harvesting),,,)","Tool description (Molbordboard plowing, Chisel, Heavy tandem disking, Sub soiler, Rotary hoeing…",Form of fertiliser,"Type of fertiliser (urea, amonium nitrate,...)",unit Kg N or other nutrient/ha,Solid_fertilizer_quantity,Liquid_fertilizer_quantity,N_kg_ha,P_kg_ha,K_kg_ha,Mg_kg_ha,B_kg_ha,Mn_kg_ha,S_kg_ha,Ca_kg_ha,fertilizer Application depth (cm),"Organic_fertilizer_type (solid manure, liquid…)","Organi fertilizer units (préférably t/ha) t/ha, m3/ha",Organic fertilizer amount,Organic fertilizer application depth (cm),% Dry matter in Organic_fertilizer,N content in organic fertilizer (gN/kg DM),C content in organic fertilizer (gC/kg DM),organic fertilizer C/N ratio,amount of organic N applied (kgN/ha),amount of organic C applied (kgC/ha),amount of organic P applied (kgN/ha),amount of organic K applied (kgN/ha),Phyto_product_Commercial Name,Phyto_product_Name active substance 1/name active substance 2…,Amount of diluted phyto product applied (l/ha or Kg/ha),Phyto_product_unit (l/ha or Kg/ha),Irrigation_quantity_mm,Length of machines use (h/ha),Total (final) Dry Mass aboveground before harvest  (T/ha),part of the plant harvested,Dry Mass harvested per type of organ  (T+ha),C content per type of organ exported (gC / Kg DM),N content per type of organ exported (gN/Kg DM),Amount C exported (T/ha),Amount N exported (T/ha),Tuber_A_Dry_Biomass_avg_T/ha,Tuber_A_weight_C_content_avg (gC/Kg DM),Tuber_A_weight_N_content_avg (gN/Kg DM),Dry mass of aboveground residues (T/ha),Grain_ear_Dry_Biomass_avg_T/ha,Grain_ear_weight_C_content_avg (gC/Kg DM),Grain_ear_weight_N_content_avg (gN/Kg DM),Grain_fruit_Dry_Biomass_avg_T/ha,Grain_fruit_weight_C_content_avg (gC/Kg DM),Grain_fruit_weight_N_content_avg (gN/Kg DM),Leaf_Stem_SD_Dry_Biomass_avg (t/ha),Leaf_Stem_SD_weight_C_content_avg (gC/Kg DM),Leaf_Stem_SD_weight_N_content_avg (gN/Kg DM)
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/2/1,2004/2/1,ITK_plowing,30,100,100,Tractor + Plough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/3/30,2004/3/30,ITK_tillage,,100,100,Tractor + Canadian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/3/30,2004/3/30,ITK_tillage+ITK_sowing,,100,100,Tractor + Rotary harrow + Precision drill ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/4/1,2004/4/1,ITK_application_of_mineral_fertilizer_products,,100,100,Tractor+ Sprayer,,Liquid,FERT_solutions_N,kg/ha,,,156,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/4/1,2004/4/1,ITK_herbicide,,100,100,Tractor+ Sprayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pyramin,,3,l.ha.-1,,,,,,,,,,,,,,,,,,,,,,
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/4/24,2004/4/24,ITK_herbicide,,100,100,Tractor+ Sprayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premium,,0.2,l.ha.-1,,,,,,,,,,,,,,,,,,,,,,
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/4/24,2004/4/24,ITK_herbicide,,100,100,Tractor+ Sprayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fumesin,,0.2,l.ha.-1,,,,,,,,,,,,,,,,,,,,,,
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/4/24,2004/4/24,ITK_herbicide,,100,100,Tractor+ Sprayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goltix,,0.5,l.ha.-1,,,,,,,,,,,,,,,,,,,,,,
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/5/3,2004/5/3,ITK_herbicide,,100,100,Tractor+ Sprayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Premium,,0.3,l.ha.-1,,,,,,,,,,,,,,,,,,,,,,
Cropland_initiative_worksheet_2021_Final_BE-Lon.xls,"ariane.faures@uliege.be, tanguy.manise@uliege.be, Bernard.Heinesch@uliege.be, Benjamin.Dumont@uliege.be (PI)",,BE-Lon,50°33'06'' N,4°44'46'' E,167,PC_POI_niveau_2,OCS_beet,,STC_principal,2004/5/3,2004/5/3,ITK_herbicide,,100,100,Tractor+ Sprayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fumesin,,0.2,l.ha.-1,,,,,,,,,,,,,,,,,,,,,,
